,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
12,0,1.0026315789473683,0,0.2,0.5,1.5,-401.7199643610256,0.085,-401.0580112162144,0.136,0.00913907,0.135,0.132,-404.2398146472081,-403.80576063534977,-403.80576098531105,-401.0928505670703,-401.0580109084375
14,10,1.2021052631578948,10,0.12,2.0,1.5,-406.2575735748529,0.105,-406.1596166805275,0.14,0.009973541,0.12,0.158,-409.0674862001079,-408.45532506207235,-408.45532520379703,-406.1647723004094,-406.1596166705019
13,20,1.1023684210526317,20,0.12,1.0,1.5,-402.3456593778659,0.095,-401.98991540698887,0.094,0.008273219,0.09,0.1,-404.1778805212362,-403.7959329042137,-403.7959330829459,-402.0086386635467,-401.98991531450474
18,30,1.6010526315789475,30,0.15,2.0,1.5,-403.9851791676584,0.095,-402.7845400346188,0.106,0.031012404,0.27,0.24,-406.5060721030537,-406.2443130389899,-406.2443132248742,-402.84773155454496,-402.7845400045451
18,40,1.6010526315789475,40,0.2,2.0,1.5,-403.1426219969288,0.095,-402.8345270043558,0.126,0.008407528,0.195,0.212,-405.2496558134683,-405.2126739304413,-405.21267406098127,-402.85074250818,-402.83452697493505
18,50,1.6010526315789475,50,0.15,2.0,1.5,-403.5251059693927,0.1,-402.8317106554576,0.088,0.008660599,0.29,0.278,-405.9633550239823,-405.9432787870602,-405.94327896720773,-402.86820506056137,-402.8317105656204
19,60,1.7007894736842106,60,0.2,2.0,1.5,-405.2415511823139,0.095,-404.94294521332176,0.126,0.008795248,0.225,0.216,-408.4418523838717,-408.1163168699937,-408.11631700001686,-404.95866119971214,-404.9429450638997
16,70,1.401578947368421,70,0.15,2.0,1.5,-404.2586121187141,0.1,-404.31867496132384,0.128,0.008281239,0.2,0.224,-406.9315826309456,-406.70095187158216,-406.7009520125349,-404.25861205575967,-404.2598378464186
15,80,1.301842105263158,80,0.1,2.0,1.5,-400.2075733354868,0.09,-399.5793140540299,0.082,0.007427137,0.11,0.124,-402.2215083773363,-402.011863586734,-402.01186378223053,-399.6123803185724,-399.57931398847575
19,90,1.7007894736842106,90,0.2,2.0,1.5,-399.3661175266817,0.095,-400.9331348308112,0.1,0.007568287,0.37,0.388,-404.8021103265144,-405.1234948578128,-405.123494967728,-399.36611751437727,-399.5899771383253
